NwgoE2HN_x8	[긴급 시장점검] 셀시우스, 이더리움 예상보다 훨씬 심각하다	NA
oI1JG4v0V60	[VLOG] 전북대학교에 강연을 다녀왔습니다⎮쓰리잡 뛰는 유튜버	NA
LtHOlK0T6mo	Is Lee Hyo-seok's academy also a tow truck? #SimilarMan #HanJiYoung	NA
aBWT68Ir_jE	생각을 바꾸고, 이렇게 투자해보세요 #경기침체 #주식투자 #박석중	NA
E3wyVguZiws	ECB프리뷰(안 보면 후회할 걸?)⎮영국 현지 정승우 특파원 연결	NA
aPU0e3IAuA0	What was important until now is no longer important #OhJongTae #Putin #CreditRisk	NA
WecwKzQSz6A	"경기침체 이야기하기 전에 이 영상 꼭 보세요"	NA
9wDaSC7i868	[Exclusive] Lee Hyo-seok's Interview: A Story You Can Hear Only Here	NA
kJX1lw5LmSY	이효석아카데미에 범업라이즈팀 출동! #정승우 #에릭 #도킨	NA
l3GZjTvPI7Y	성공한 개발자가 되기 위해 필요한 것? 스타트업 이직 계기는⎮업라이즈 CTO 제이크 인터뷰	NA
xjbgsid9jUI	What are the interests of high net worth individuals these days???	NA
M_vkSOvLcBQ	삼성 반도체 공장 찾는 바이든, 한국반도체의 미래를 말하다(w.최도연 신한금융투자 기업분석팀장)	NA
eUFRpgGOCxw	코인발 금융위기 가능성 (상상만해봤습니다)	NA
kwdWYtA5Ycw	K뷰티 투자자라면 꼭 보셔야 합니다(w.하나금융투자 박종대 연구원)	NA
fQ_NyHyQsbg	테슬람이 그리는 테슬라의 미래ㅣ테슬라의 모든것#2	NA
CWpOrM6KRsY	I spoke with Somong about the climate crisis.	NA
iPwO6al4sHY	트위터 테슬람 총출동ㅣ테슬라의 모든 것#1	NA
Z2wmjpIka2U	(예고) 이효석아카데미, 이제 이분들과 함께합니다!	NA
gZHblpMVp0E	성장주의 상징 UBER 대표의 조언	NA
8Sc1GvW2cNM	자녀들에게 물려줄 돈이 많~은 분은 꼭 보세요ㅣ상속설계 2부	NA
lncAE2uz87I	자녀에게 물려줄 돈보다 빚이 많다면?ㅣ상속설계 1부	NA
Kq_XXLX6B6E	고용지표보다 더 중요한게 있었네요 #소비자신용	NA
143WVh30IqY	“역대급 변동성, 그 이유는?”	NA
4wrx94S7kEU	AI가 만화도 그리는 세상(w.네이버 웹툰AI 김대식 총괄 2부)	NA
OsUDdhhJPyw	'테슬라의 경쟁력' AI 박사의 생각은 이렇습니다(w.네이버 웹툰AI 김대식 총괄 1부)	NA
Kw-0dUbHlsg	[오마하 인생극장] 인생은 마라톤	NA
Kd8e4HiT5MI	버핏은 투자만큼 연애도 잘했을까?	NA
9yanRZ5jX08	[긴급] 금융시장 점검, 최악의 상황이 올까?	NA
9bQVrn5O8Pk	적의 심장을 찌른 테슬라, 문화가 되다ㅣ자동차 미생 3부	NA
euOWNtNTxj4	오토워의 결말, 어떻게 끝날까?ㅣ자동차 미생 2부	NA
_YMA4pvL1oA	테슬라가 시작한 오토워(Auto War) ㅣ자동차 미생 1부	NA
BD-w0dBIBv8	지금 여러분께 꼭 드리고 싶은 말씀	NA
-VMzWMIfDjM	정유/화학 투자, 이 영상으로 고민 끝!ㅣ윤재성 연구원과 스터디	NA
ID1j0HC-rxQ	Why Political Interpretation Matters #Director Oh Jong-tae #China #USA	NA
PoTr_8a0v9U	답답한 경기침체, 대안을 말씀드립니다ㅣFOMC 프리뷰 2부(w.두물머리 빈센트)	NA
JCRXj4Jluk4	외환시장에서 힌트 찾자ㅣFOMC 프리뷰 1부(w.두물머리 빈센트)	NA
IuYArHPbzTw	매일 바뀌는 펀드매니저의 생각을 알 수 있다고?｜ETF 2부	NA
rpZZJjvpICA	A fund manager managing 2 trillion won shares his survival strategy | ETF Part 1	NA
SiJs9qb-i0s	VLOGㅣ효친님들과 점심 먹었습니다^^	NA
IxgLAywqoLM	[긴급] 나스닥 급락, 시장이 걱정하는 2가지 #유연하게 #겸손하게	NA
L66aZcnyyNI	10분 라이브ㅣ~ 그럼 기후는요? 지구의 날에 듣는 기후 이야기 #신재생	NA
gXWpiml2__U	10분 라이브ㅣ달러의 기축통화 지위가 영원할까?	NA
MxxQY5RKpj0	테슬라 주주분들은 꼭 보세요 #테슬라 #TSLA #미국주식	NA
uUKfd3AN1Ko	효카데미 역사상 가장 얄미운 출연자^^ㅋ #개인투자자 #디피 #경제적자유	NA
VFoap19p260	VLOG｜What does Writer Kim TV mean to Lee Hyo-seok?! (+A small subscriber event)	NA
JzVjUOXOcGI	10-Minute Live | Let's learn about Buffett's "mindset," not his "portfolio." #Graham #WarrenBuffe...	NA
lH4fwjlK3iY	10분 라이브｜윤석열표 부동산 정책, 무엇이 달라질까? #채상욱 #부동산 #윤석열	NA
ZJThJ3-Ezbo	해외주식 정보, 여기 다 있다 #바바리안 #김형배 #트위터 #보안 #광고 #소비재	NA
TRK3LoC1Qg8	워런 버핏, 시장이 어려울 때 생각나는 사람 (w. 홍진채 대표)	NA
UP4jQbd9KXM	미스터마켓의 생각을 읽어라! (feat. BofA 설문조사)	NA
JDpVRmTMuKM	[이효석아카데미 최초] 스몰캡 투자 전략 #원전 #부동산 #교육	NA
VqvGcsypzrI	이럴수도 저럴수도, 아무일도 없을수도	NA
ppEfaV3WfTs	2차전지 소재는 올랐는데, 장비는?? #최보영 #교보증권 #주식투자	NA
Jau_IOdRZYw	[K방산] 전쟁이 끝나면, 쇼핑이 시작된다 #K방산 #주식 #최광식	NA
51y2SKvsaMo	지금은 특히 실적이 중요합니다! #유명간 #실적시즌 #주식투자	NA
eVLybSFALQI	이차전지 & 신재생, 역사적 모멘텀이 온다	NA
0mH_PN467y4	부동산, 욕망을 밸류에이션할 수 있을까? #부동산 #SK증권 #신얼 #	NA
dtIZXYCl4j0	At this rate, we'll all die! The bond market is in chaos #Bonds #SKSecurities #ShinEol	NA
q3HGXfatNEA	Why the Market Was Surprised - Two Types of Quantitative Tightening #QT #QT #Fed	NA
OgYq-VCaJuo	전재산의 1%으로 트위터 최대주주가 된 일런머스크 #트위터 #일런머스크 #양극화 #SaveKOSPI	NA
ayH-lxEhW6c	테슬라에 투자해야 할 또다른 이유 - VPP 2부 #V2G #테슬라 #엔페이즈	NA
mLHp_zx344Y	1,500조 시장이 온다, VPP에 주목하세요 #함형도 #VPP #해외주식	NA
S1AHfNgH18E	VPP가 뭡니까? 처음 들어보는데	NA
YEkZWleuNMQ	의료기기 업종 투자, 이렇게 하면 됩니다 #김충현 _2부	NA
1Rakuk-ef6k	불황에 강한 주식은 이 업종에서 찾으세요 #김충현 #주식 #해외주식	NA
akGB_9HQKh0	금리가 오를 때보다 하락할 때 더 조심해야 됩니다 #김영익 #주식	NA
aoaK2kCk79Y	김영익 교수님 생각이 이 지표 때문에 바뀌었다고 하시네요	NA
5ZYZ0xt5ud4	해운주 투자하면서 이 영상을 안 봤다고??	NA
dizezFOw0zI	조선주 투자하면서 이 영상은 안 봤다고??	NA
6KMxOEAQZs4	4월, 꽃필까? 잔인할까?	NA
6ICqeZLIs-o	테슬라 주가가 상승하는 진짜 이유가 이 것 때문이라고?	NA
rYir8M7to2o	한계를 가위로 잘라내다. 코드 브레이커	NA
dlPjRSXTtLg	이 영상 이후로 장단기 금리차는 보지마세요 #장단기금리 #경기침체 #리세션 #주식투자	NA
J4fpOBVFRi0	복잡한 세상에서 투자하기(2/2) - 살아 남기 위한 방법	NA
pGYio1t6c_w	복잡한 세상에서 투자하기(1/2) - 지금 주식 팔아야 되나?	NA
rFpkTto5Hs8	[Urgent] China Situation Review (with Hana Financial Investment Researcher Kim Kyung-hwan)	NA
iQ8gP0OV8ys	유가 250$ ??? 그럼 다 죽을 텐데?	NA
KTkIpo-Nwd8	저와 함께 리서치하실 분을 찾습니다! #이효석아카데미 #구인	NA
re46V2zTEzc	건설업종 투자? 대선 결과보다 중요한 것은 따로 있다 #박세라 #인플레이션시대	NA
E9T1pA7QYNM	파월 공격에도 잘 버틴 주식시장	NA
2qyEWvdVccA	투자하기 가장 좋은 때는? 지금??	NA
64VX5h26n_s	[Defi 뽀개기] 9% 수익률 진짜? 정말 가능한 것인지 끝까지 파보았습니다 #Defi #Heybit	NA
FSJdQ0SC70k	3월 FOMC 올해 가장 중요한 순간이 다가온다	NA
eSa2g23TeNo	탈탄소 후퇴, 사실인가? #탈탄소 #신재생 #중국 #유럽	NA
tIFkXCzqwtc	Knowing how serious Europe is can help you invest successfully.	NA
P9A-HAsvgfs	생각할 수 있는 최악은 이것 (보험 가입이 필요한 이유)	NA
ZFEnfgum4TU	[완결판] 세이브코스피 - 내 주식을 지키기 위한 8가지 원칙 #김규식 #제도개선 #청와대청원	NA
n9G66V4l3qA	Investment ideas discovered by CEO Tak amidst the macro bombing #KimTak #Apple	NA
giEl9qz8s_E	강환국이 마지막에 투자하려고 남겨둔 곳은?	NA
lHHZVZouROc	퀀트 투자자는 전쟁나면, 어떻게 투자하나?(강환국님 인터뷰 1부)	NA
dScx5ws2qVI	어려운 시장, 함께 고민하시죠! #윤지호센터장 #채권시장 #변동성	NA
jguf3K3KJFQ	우크라이나 이슈, 끝나지 않는다. 하지만...?	NA
Ip5knM_V9-s	[Urgent] Finding a way to respond to the shock from Ukraine	NA
tB47cK8XsFo	5년 안에 벌어질 가장 큰 변화 - ﻿공간이 네트워크에 연결된다 #AI #DATA #신뢰 #경제성	NA
_uQnHe1OP2w	생각의 방식을 바꾸라고? #주식 #주식투자 #연준	NA
OF9aS8gCOOA	Save Kospi, this time it feels different!	NA
U7hGJsQ7wro	LG화학과 국민연금에게 현실적인 제안을 드립니다!  #SaveKospi	NA
C2OOk_y-VT4	지금은 주식 투자하기 너무 좋은 때다? #박세익전무 #주식투자	NA
ez2aYrDN7ZY	III. 기업이익이 주주에게 오기전에 어디선가 새고 있다 #SaveKospi	NA
TOfp-PVaNxk	시장 긴장 지속되는 가운데, 금가격 상승에 주목 #금 #주식 #투자 #SaveKOSPI	NA
rIToJ9nr-_s	[긴급 점검] 주가 급락, 그래도 최악의 위기는 없다??	NA
bU7FfiVwZyo	성공한 미술가와 성공한 투자자의 공통점 (홍대이작가, 윤수목 인터뷰 2부)	NA
u2EWLcswkaY	미술가 입장에서 본 NFT는 다르다 (홍대이작가, 윤수목 인터뷰 1부)	NA
qtISRMRLhp4	II. 법이 허용하는 도둑질 #savekospi  #선관의무 #집단소송 #증거제시	NA
6UUePe6mwws	I. Governance without regrets and unfairness #savekospi #investmentcontract, #governance	NA
5PnZ0afHUwM	애플이 애플하면, 페이팔은 어쩌나?!!! #애플 #페이팔 #태양광 #치폴레	NA
z9PKCkr4xqg	우크라이나에 가려진 미국이 진짜 두려워 하는 그 것	NA
mOdXG6v5AGo	혼돈의 시대, 붙잡아야할 것은?	NA
lbTGGhM-az4	지금부터는 금리보다 이것이 중요합니다 #연준 #금리 #인플레 #성장 #고용 #savekospi	NA
ZBGrhG4TTH4	연휴기간 금융시장  총정리 #주식 #채권 #환율 #비트코인 #나스닥 #구글 #연준	NA
4KOaE2KUBgs	다모다란의 투자전략 바이블 #4 - PBR 1배 의미 있는 이유 #PBR	NA
MRTuNz2_YAA	오늘부터 진짜 새해, 시장이 자신감을 찾은 진짜 이유 #나스닥 #비트코인 #테슬라	NA
pITfsjwBJe4	ARK in Crisis, Cashwood: "It's not over yet!"	NA
sgpdhKE9JnQ	애플이 살렸다 #애플 #나스닥 #비트코인	NA
0UfoysUldZM	LG에너지솔루션 때문에 화가 나신 분은 꼭 보세요 #3부 #김규식	NA
6bvYbaz2XSU	나는 워렌버핏은 존경하지만 돈은 테슬라로 벌었다 #2부 #테슬라 #워렌버핏 #김규식	NA
fKB9EeSB7AU	인권 변호와 가치 투자는 닮았다? #김규식 #기업거버넌스포럼#1부	NA
XcEK6s-xorY	1월 FOMC 리뷰 - 정말 중요한 것은 금리인상이 아니다?	NA
Xxxj2QfRMSg	FOMC프리뷰 - 긴축으로 가는 험난한 길#연준 #FOMC #주식 #투자	NA
QtIIRH5HEcQ	기후위기에 진심인 효친마을 #기후 #기후솔루션 #윤세종	NA
GcrR5QIkb4g	[Emergency Check] How far should we go in considering a crisis situation? #Why are sharp declines...	NA
6GKd4b-rJwk	지금은 아이디어보다 생존이 중요한 때입니다. #시장대응 #넷플릭스 #펠로톤	NA
EakpZ4ZPqDQ	암호화폐 투자의 정석, CryptoQuant 주기영 대표	NA
ZctWOA-8CWQ	대격변의 시대, 유통업종 투자 어떻게?	NA
hNdM5zb9Tkk	Top secret! 연준이 떼돈을 벌 수 있었던 비결(그 돈은 어디에 쓴거지?)	NA
dEKGlR4-mTk	From now on, you need to know this to invest successfully.	NA
m6llGSfXO7Y	그로스파인더 장현호의 투자 조언 (LG에너지솔루션이 패시브가 낳은 괴물이 될 수 있는 이유) #LG에너지솔루션 #그로스파인더	NA
HhJnT8MWVK8	LG에너지솔루션 상장, 이 영상으로 고민 끝내시죠! #LG에너지솔루션 #이차전지	NA
ksV5IcjwYbU	I'll show you the virtual world with your own eyes.	NA
H1o497BSRMw	코린이를 위한 알고란님의 투자 과외	NA
6jroJiBfUDw	성장주만 가지고 계신 분들은 보세요 #경기민감주 #투자 #김탁 #탁튜브	NA
tF1o0s24rNA	연초부터 너무 힘든 주식시장, 투자전략 고민(w. 유명간)	NA
veuLnVQ2lnw	DAO가 뭔지 알려다오 #윤수목 #DAO #오픈다오 #sos	NA
sbL9TOVbKEQ	연초 주식시장은 이렇게 변하고 있습니다(w. 바바리안리서치)	NA
XF5WfB5jPok	애플, 테슬라 투자하려면 이건 점검하셔야죠~!	NA
DKYp6NMnWYg	[연간 전망] 2022년 투자하려면 이거만 보시면 된다	NA
HJL5uhf3mrk	Dear Filial Piety Friends, Let's Keep Working Hard in 2022! #NewYearGreetings #FilialPietyVillage...	NA
m5MbGB2vRqU	탄소중립, 모두가 함께 해야 가능합니다(w.정승우 특파원)	NA
9RNjm3UIMJ8	NFT 완벽 정리 (with.이학무연구원) #NFT #웹3.0 #Cryto #이학무 #비트코인 #이더리움 #중앙화	NA
LD9RFuRbEwE	평생 투자하기 위해 필요한 것(with. 홍진채 대표)	NA
5GR5dfE3tOs	탄소배출권 투자 제가 다~ 알려드릴께요 😎 #기후위기 #탄소배출권 #박기현 #sk증권	NA
Ey_IoQxfA_k	바바리안리서치와 이효석아카데미가 만났습니다 #해외주식 #바바리안 #미국주식	NA
f5WvpsNCqm4	다모다란의 투자전략 바이블 #2 - 배당주 투자하는 법 #배당 #밸류에이션	NA
X41pX-n0ax0	V리뷰- 메타버스의 아버지 얏시우가 알려준 진짜 가치	NA
9N888OuRij8	하워드막스가 보는 오늘부터의 세계 #주식 #투자 #인플레이션 #과학기술 #정치 #기술	NA
Wzg64wtdqiU	다모다란 투자전략바이블 1st #다모다란 #주식 #투자 #전략	NA
h_hvx3lcvyY	[긴급] 자산가격 급락, 진짜 두려워해야 하는 것은 따로 있다? #비트코인, #나스닥, #고용, #블라드, #찰리멍거	NA
06SZ6YF0Oeo	MZ세대를 알아야 투자가 쉬워진다! X세대가 이야기하는 MZ세대 (with. 엄브렐라 리서치 윤주호 대표) #MZ세대 #꼬마빌딩 #팬슈머 #투자 #미술품	NA
Vw7BSaLu-a4	오미크론 등장에 놀란 시장, 투자 전략 어떻게??? #오미크론 #코로나19 #주식 #유가	NA
pA0EpGKpa50	매타버스가 슈퍼 메가트랜드인 이유, 앞으로 3년내 일어날 일(feat. CBDC)	NA
e_uybPTEjDk	전세계에서 가장 똑똑한 돈은 이곳으로 움직입니다 #비트코인 #이더리움 #NFT #솔라나	NA
YBGOL1azqXU	여의도 산책LIVE #3 - 그냥 걸었지(w.김열매)	NA
OGEz2rqMZ18	제 인생에서 가장 큰 투자 지금부터 시작합니다. #이효석아카데미	NA
vHCrOTxQwAM	이효석의V리뷰#4.1- 다모다란 교수님, 투자 어떻게 할까요?#다모다란, #이효석, #밸류에이션, #투자	NA
LEWkdNxHOJE	이효석의 V리뷰 #3. 폴 크루그만의 생각(feat. EBS 위대한 수업) #기술, #세계화, #인구, #EBS, #기후	NA
7dAqnL56j2c	그나마 다행스러운 두가지 소식	NA
X5s4qt0-yGs	파월 연임 가능? #도덕성 #불확실성 #규제	NA
VdINfzamh9c	계속되는 악재 주가하락 언제까지	NA
yUs-xEGHXPE	V리뷰#2 - Why 메타버스? Why NFT?	NA
HJrwAMawbYM	나스닥은 하락했는데, 테슬라는 800불	NA
YTq1mb8VYcg	당분간 지루한 박스권 장세 이어질 전망	NA
-5ix4Tf78pU	이효석의 인터뷰 - '기후위기를 막기 위해서는' 석탄을 막는 것이 가성비가 '제일' 좋다!?  (with. SFOC 윤세종 변호사)	NA
KBg-e7DsPHQ	이효석의 V리뷰 #1 - 흔들리는 시장, 대가들은 어떻게 볼까?	NA
REOGFLTS1t4	캐시우드 누님의 생각에 대한 생각 #빅테크, #美국채, #디플레	NA
O48mb3FVcZ0	FOMC 리뷰 #테이퍼링, #물가, #GDP, #경제, #파월, #옐런, #주가, #헝다	NA
d0Y0ey3sTik	Chuseok Holiday Financial Market Summary	NA
LBYHMOX-6Oc	이효석의 인터뷰 - 네이버, 카카오, 구글, 애플이 흔들릴 때 봐야하는 영상, 데이터는 왜 돈이 되는가?? (with. 조봉수 실장)	NA
k-S9UeAY02U	이효석의 북카페 #12 - 내가 '내 자산'보다 오래 사는 것이 리스크!? #노후 #연금 #강창희대표 #인생 #오십부터는노후걱정없이살아야한다 #북이벤트	NA
VIXUvj577so	이효석의 북카페 #11 - 과거의 성공이 아닌 현재의 성공, 김작가를 만나다! #럭키 #성공 #신작 #김작가tv #북이벤트	NA
GTHKS3UTOYE	[Chuseok Holiday Special Academy Preview] #Success Kim Writer TV, #Life Kang Chang-hee, #Change J...	NA
gdNap8k-hAw	앞으로 제가 하고 싶은 일 : 주주권행사, 쓰레기금융상품 청소 - #메타버스, #NFT, #FOMC, #시대_1등주	NA
T7z1fAmiaRw	탄소중립, 가야되긴 하는데 쉽진 않아요	NA
eqqwyfDkkMo	투자를 하는 회사가 좋은 회사인 이유	NA
YATiU72KpPU	동학개미의 최종 승리는 진정한 금융강국이 되는 것	NA
Pp6tL9Hyj5Y	Big Change = Big Chance #에너지, #패러다임, #큰기회, #큰변화	NA
-itNZbI4X04	WISE - 추석에 주식 들고 가도 될까요? #美부채한도, #경기둔화우려, #스테그플레이션, #신흥국	NA
s8YBvgwBWsw	이효석의 북카페 #10 - 시장이 흔들릴 때 꼭 봐야 하는 영상 #헤지펀드팀 #동료 #투자 #주식투자 #전망 #전략	NA
k0b9qrF7UAo	iDEA - 여인은 돌아서지 않는다 #ECB, #네이버, #카카오, #라가르드	NA
A3Kn_If_Sls	iDEA - 네이버,카카오 급락에 대한 생각	NA
C87YX4hxiBA	iDEA - 비트코인 급락, 무슨일? #엘살바드로, #비트코인, #법정화폐, #업비트, #코인원,	NA
sQoXrqIyfvw	iDEA - Silently Strong	NA
jxJekjANBto	WISE - Going all the way until it gets better #USEmploymentShock, #Emerging_Country_Concerns, #IM...	NA
QaCX0R1vM5I	하윤이의 경제공부 #5 - 부루마블 경제학	NA
gBsAeClCXWE	[Part 2] Lee Hyo-seok's Interview - I'll Tell You Everything About CRISPR Gene Scissors (feat. Pr...	NA
G0gNfwPPqJM	미국 고용 쇼크 무슨일?	NA
O5XkiYa-V0I	iDEA - 쓰레기는 무엇일까? #채권, #현금, #주식, #배터리, #카카오뱅크, #북카페 #복잡계	NA
5igmDtgHSxY	이효석의 북카페 #9.2 - 오종태 이사의 하반기 투자 조언! #오종태 #복잡계 #투자	NA
X2W52AIbV5I	iDEA - 이길 수 없으면, 합류하라 #나스닥, #고용, #카카오뱅크, #ADP	NA
eVuBJ17TXNE	iDEA - 골디락스 장세가 이어질 전망 #골디락스, #공부, #수소, #은행, #건설, #반도체, #투자, #주식	NA
705boeLvkxg	이효석의 북카페 #9 - 여러분을 복잡계의 세상으로 초대합니다 #오종태 #복잡계 #투자	NA
YKmaBRhYiho	WISE - 반등은 계속된다 #잭슨홀, #인플레, #연준, #달러약세, #철강, #금융, #화학	NA
JLzA7uW38B4	이효석의 인터뷰 - 대한민국에서 집은 꼭 한 채는 있어야 하는 건가요? (feat. 김열매 팀장) #부동산, #김열매, #르꼬르비제, #오피스텔, #아파텔	NA
